Source,CH1
Second,Volt
-0.00247760000,-7.60000,
-0.00247720000,-7.60000,
-0.00247680000,-7.60000,
-0.00247640000,-7.60000,
-0.00247600000,-7.70000,
-0.00247560000,-7.60000,
-0.00247520000,-7.60000,
-0.00247480000,-7.60000,
-0.00247440000,-7.50000,
-0.00247400000,-7.60000,
-0.00247360000,-7.60000,
-0.00247320000,-7.60000,
-0.00247280000,-7.70000,
-0.00247240000,-7.60000,
-0.00247200000,-7.70000,
-0.00247160000,-7.60000,
-0.00247120000,-7.60000,
-0.00247080000,-7.70000,
-0.00247040000,-7.60000,
-0.00247000000,-7.60000,
-0.00246960000,-7.60000,
-0.00246920000,-7.60000,
-0.00246880000,-7.60000,
-0.00246840000,-7.70000,
-0.00246800000,-7.60000,
-0.00246760000,-7.60000,
-0.00246720000,-7.70000,
-0.00246680000,-7.70000,
-0.00246639984,-7.70000,
-0.00246599984,-7.60000,
-0.00246559984,-7.70000,
-0.00246520016,-7.60000,
-0.00246480016,-7.60000,
-0.00246440016,-7.60000,
-0.00246400016,-7.60000,
-0.00246360016,-7.60000,
-0.00246320016,-7.60000,
-0.00246280016,-7.60000,
-0.00246240016,-7.50000,
-0.00246200016,-7.60000,
-0.00246160016,-7.60000,
-0.00246120016,-7.60000,
-0.00246080016,-7.60000,
-0.00246040016,-7.60000,
-0.00246000016,-7.60000,
-0.00245960016,-7.60000,
-0.00245920016,-7.60000,
-0.00245880016,-7.60000,
-0.00245840016,-7.60000,
-0.00245800016,-7.60000,
-0.00245760016,-7.60000,
-0.00245720016,-7.60000,
-0.00245680016,-7.60000,
-0.00245640000,-7.60000,
-0.00245600000,-7.60000,
-0.00245560000,-7.70000,
-0.00245520000,-7.60000,
-0.00245480000,-7.60000,
-0.00245440000,-7.70000,
-0.00245400000,-7.60000,
-0.00245360000,-7.60000,
-0.00245320000,-7.60000,
-0.00245280000,-7.60000,
-0.00245240000,-7.70000,
-0.00245200000,-7.60000,
-0.00245160000,-7.60000,
-0.00245120000,-7.60000,
-0.00245080000,-7.60000,
-0.00245040000,-7.60000,
-0.00245000000,-7.60000,
-0.00244960000,-7.60000,
-0.00244920000,-7.60000,
-0.00244880000,-7.60000,
-0.00244840000,-7.60000,
-0.00244800000,-7.60000,
-0.00244760000,-7.70000,
-0.00244720000,-7.60000,
-0.00244680000,-7.60000,
-0.00244640000,-7.60000,
-0.00244600000,-7.60000,
-0.00244560000,-7.60000,
-0.00244520000,-7.70000,
-0.00244480000,-7.60000,
-0.00244440000,-7.60000,
-0.00244400000,-7.60000,
-0.00244360000,-7.60000,
-0.00244320000,-7.60000,
-0.00244280000,-7.60000,
-0.00244240000,-7.60000,
-0.00244200000,-7.60000,
-0.00244160000,-7.60000,
-0.00244120000,-7.60000,
-0.00244080000,-7.70000,
-0.00244040000,-7.60000,
-0.00244000000,-7.60000,
-0.00243960000,-7.60000,
-0.00243920000,-7.60000,
-0.00243880000,-7.60000,
-0.00243840000,-7.60000,
-0.00243800000,-7.50000,
-0.00243760000,-7.60000,
-0.00243720000,-7.60000,
-0.00243680000,-7.60000,
-0.00243640000,-7.60000,
-0.00243600000,-7.60000,
-0.00243559984,-7.60000,
-0.00243519984,-7.60000,
-0.00243479984,-7.60000,
-0.00243440016,-7.60000,
-0.00243400016,-7.60000,
-0.00243360016,-7.60000,
-0.00243320016,-7.70000,
-0.00243280016,-7.60000,
-0.00243240016,-7.60000,
-0.00243200016,-7.60000,
-0.00243160016,-7.60000,
-0.00243120016,-7.60000,
-0.00243080016,-7.60000,
-0.00243040016,-7.60000,
-0.00243000016,-7.60000,
-0.00242960016,-7.60000,
-0.00242920016,-7.60000,
-0.00242880016,-7.60000,
-0.00242840016,-7.60000,
-0.00242800016,-7.60000,
-0.00242760016,-7.60000,
-0.00242720016,-7.60000,
-0.00242680016,-7.60000,
-0.00242640016,-7.60000,
-0.00242600016,-7.60000,
-0.00242560000,-7.60000,
-0.00242520000,-7.50000,
-0.00242480000,-7.60000,
-0.00242440000,-7.60000,
-0.00242400000,-7.60000,
-0.00242360000,-7.60000,
-0.00242320000,-7.60000,
-0.00242280000,-7.70000,
-0.00242240000,-7.70000,
-0.00242200000,-7.60000,
-0.00242160000,-7.60000,
-0.00242120000,-7.60000,
-0.00242080000,-7.50000,
-0.00242040000,-7.60000,
-0.00242000000,-7.60000,
-0.00241960000,-7.60000,
-0.00241920000,-7.60000,
-0.00241880000,-7.60000,
-0.00241840000,-7.60000,
-0.00241800000,-7.60000,
-0.00241760000,-7.60000,
-0.00241720000,-7.60000,
-0.00241680000,-7.50000,
-0.00241640000,-7.60000,
-0.00241600000,-7.70000,
-0.00241560000,-7.60000,
-0.00241520000,-7.60000,
-0.00241480000,-7.60000,
-0.00241440000,-7.60000,
-0.00241400000,-7.60000,
-0.00241360000,-7.50000,
-0.00241320000,-7.60000,
-0.00241280000,-7.60000,
-0.00241240000,-7.60000,
-0.00241200000,-7.60000,
-0.00241160000,-7.60000,
-0.00241120000,-7.60000,
-0.00241080000,-7.60000,
-0.00241040000,-7.60000,
-0.00241000000,-7.60000,
-0.00240960000,-7.60000,
-0.00240920000,-7.60000,
-0.00240880000,-7.60000,
-0.00240840000,-7.70000,
-0.00240800000,-7.60000,
-0.00240760000,-7.50000,
-0.00240720000,-7.50000,
-0.00240680000,-7.50000,
-0.00240640000,-7.60000,
-0.00240600000,-7.60000,
-0.00240560000,-7.60000,
-0.00240519984,-7.60000,
-0.00240479984,-7.60000,
-0.00240439984,-7.60000,
-0.00240400016,-7.60000,
-0.00240360016,-7.70000,
-0.00240320016,-7.60000,
-0.00240280016,-7.60000,
-0.00240240016,-7.60000,
-0.00240200016,-7.60000,
-0.00240160016,-7.50000,
-0.00240120016,-7.60000,
-0.00240080016,-7.60000,
-0.00240040016,-7.60000,
-0.00240000016,-7.70000,
-0.00239960016,-7.60000,
-0.00239920016,-7.60000,
-0.00239880016,-7.60000,
-0.00239840016,-7.60000,
-0.00239800016,-7.60000,
-0.00239760016,-7.60000,
-0.00239720016,-7.60000,
-0.00239680016,-7.60000,
-0.00239640016,-7.60000,
-0.00239600016,-7.60000,
-0.00239560016,-7.60000,
-0.00239520000,-7.60000,
-0.00239480000,-7.70000,
-0.00239440000,-7.70000,
-0.00239400000,-7.60000,
-0.00239360000,-7.60000,
-0.00239320000,-7.60000,
-0.00239280000,-7.70000,
-0.00239240000,-7.60000,
-0.00239200000,-7.60000,
-0.00239160000,-7.60000,
-0.00239120000,-7.60000,
-0.00239080000,-7.50000,
-0.00239040000,-7.60000,
-0.00239000000,-7.60000,
-0.00238960000,-7.60000,
-0.00238920000,-7.60000,
-0.00238880000,-7.60000,
-0.00238840000,-7.60000,
-0.00238800000,-7.60000,
-0.00238760000,-7.60000,
-0.00238720000,-7.60000,
-0.00238680000,-7.80000,
-0.00238640000,-7.60000,
-0.00238600000,-7.60000,
-0.00238560000,-7.60000,
-0.00238520000,-7.60000,
-0.00238480000,-7.60000,
-0.00238440000,-7.60000,
-0.00238400000,-7.60000,
-0.00238360000,-7.60000,
-0.00238320000,-7.60000,
-0.00238280000,-7.60000,
-0.00238240000,-7.60000,
-0.00238200000,-7.60000,
-0.00238160000,-7.60000,
-0.00238120000,-7.60000,
-0.00238080000,-7.60000,
-0.00238040000,-7.60000,
-0.00238000000,-7.60000,
-0.00237960000,-7.60000,
-0.00237920000,-7.60000,
-0.00237880000,-7.60000,
-0.00237840000,-7.60000,
-0.00237800000,-7.50000,
-0.00237760000,-7.60000,
-0.00237720000,-7.60000,
-0.00237680000,-7.60000,
-0.00237640000,-7.50000,
-0.00237600000,-7.60000,
-0.00237560000,-7.70000,
-0.00237520000,-7.60000,
-0.00237480000,-7.50000,
-0.00237439984,-7.60000,
-0.00237399984,-7.60000,
-0.00237359984,-7.70000,
-0.00237320016,-7.60000,
-0.00237280016,-7.60000,
-0.00237240016,-7.60000,
-0.00237200016,-7.60000,
-0.00237160016,-7.60000,
-0.00237120016,-7.70000,
-0.00237080016,-7.60000,
-0.00237040016,-7.60000,
-0.00237000016,-7.60000,
-0.00236960016,-7.50000,
-0.00236920016,-7.60000,
-0.00236880016,-7.60000,
-0.00236840016,-7.60000,
-0.00236800016,-7.60000,
-0.00236760016,-7.60000,
-0.00236720016,-7.60000,
-0.00236680016,-7.60000,
-0.00236640016,-7.60000,
-0.00236600016,-7.60000,
-0.00236560016,-7.60000,
-0.00236520016,-7.60000,
-0.00236480016,-7.60000,
-0.00236440000,-7.60000,
-0.00236400000,-7.60000,
-0.00236360000,-7.70000,
-0.00236320000,-7.50000,
-0.00236280000,-7.50000,
-0.00236240000,-7.60000,
-0.00236200000,-7.60000,
-0.00236160000,-7.60000,
-0.00236120000,-7.60000,
-0.00236080000,-7.60000,
-0.00236040000,-7.70000,
-0.00236000000,-7.60000,
-0.00235960000,-7.70000,
-0.00235920000,-7.60000,
-0.00235880000,-7.60000,
-0.00235840000,-7.60000,
-0.00235800000,-7.60000,
-0.00235760000,-7.60000,
-0.00235720000,-7.60000,
-0.00235680000,-7.60000,
-0.00235640000,-7.70000,
-0.00235600000,-7.60000,
-0.00235560000,-7.60000,
-0.00235520000,-7.60000,
-0.00235480000,-7.50000,
-0.00235440000,-7.60000,
-0.00235400000,-7.60000,
-0.00235360000,-7.60000,
-0.00235320000,-7.70000,
-0.00235280000,-7.60000,
-0.00235240000,-7.60000,
-0.00235200000,-7.60000,
-0.00235160000,-7.60000,
-0.00235120000,-7.60000,
-0.00235080000,-7.70000,
-0.00235040000,-7.60000,
-0.00235000000,-7.60000,
-0.00234960000,-7.70000,
-0.00234920000,-7.60000,
-0.00234880000,-7.60000,
-0.00234840000,-7.60000,
-0.00234800000,-7.70000,
-0.00234760000,-7.60000,
-0.00234720000,-7.60000,
-0.00234680000,-7.60000,
-0.00234640000,-7.60000,
-0.00234600000,-7.60000,
-0.00234560000,-7.60000,
-0.00234520000,-7.60000,
-0.00234480000,-7.60000,
-0.00234440000,-7.60000,
-0.00234399984,-7.60000,
-0.00234359984,-7.60000,
-0.00234319984,-7.60000,
-0.00234279984,-7.60000,
-0.00234240016,-7.60000,
-0.00234200016,-7.60000,
-0.00234160016,-7.60000,
-0.00234120016,-7.60000,
-0.00234080016,-7.60000,
-0.00234040016,-7.60000,
-0.00234000016,-7.60000,
-0.00233960016,-7.60000,
-0.00233920016,-7.60000,
-0.00233880016,-7.50000,
-0.00233840016,-7.50000,
-0.00233800016,-7.60000,
-0.00233760016,-7.60000,
-0.00233720016,-7.60000,
-0.00233680016,-7.60000,
-0.00233640016,-7.50000,
-0.00233600016,-7.60000,
-0.00233560016,-7.50000,
-0.00233520016,-7.60000,
-0.00233480016,-7.60000,
-0.00233440016,-7.50000,
-0.00233400000,-7.60000,
-0.00233360000,-7.60000,
-0.00233320000,-7.60000,
-0.00233280000,-7.60000,
-0.00233240000,-7.60000,
-0.00233200000,-7.60000,
-0.00233160000,-7.50000,
-0.00233120000,-7.50000,
-0.00233080000,-7.50000,
-0.00233040000,-7.60000,
-0.00233000000,-7.60000,
-0.00232960000,-7.60000,
-0.00232920000,-7.60000,
-0.00232880000,-7.60000,
-0.00232840000,-7.50000,
-0.00232800000,-7.60000,
-0.00232760000,-7.60000,
-0.00232720000,-7.60000,
-0.00232680000,-7.60000,
-0.00232640000,-7.60000,
-0.00232600000,-7.60000,
-0.00232560000,-7.60000,
-0.00232520000,-7.60000,
-0.00232480000,-7.60000,
-0.00232440000,-7.70000,
-0.00232400000,-7.60000,
-0.00232360000,-7.70000,
-0.00232320000,-7.60000,
-0.00232280000,-7.60000,
-0.00232240000,-7.60000,
-0.00232200000,-7.60000,
-0.00232160000,-7.60000,
-0.00232120000,-7.70000,
-0.00232080000,-7.60000,
-0.00232040000,-7.60000,
-0.00232000000,-7.60000,
-0.00231960000,-7.60000,
-0.00231920000,-7.60000,
-0.00231880000,-7.60000,
-0.00231840000,-7.60000,
-0.00231800000,-7.70000,
-0.00231760000,-7.60000,
-0.00231720000,-7.60000,
-0.00231680000,-7.60000,
-0.00231640000,-7.70000,
-0.00231600000,-7.60000,
-0.00231560000,-7.60000,
