#V1[dg]	V2[dg]
0 		0
8 		9
9 		9
13		13
16		17
20		19
24		24
28		28
32		32
36		36
40		40
45		44
48		48
72		52
54 		75
59 		57
64 		63
67 		66
72 		70
76 		74
79 		77
83 		81
87 		84
107		88
91 		100
96 		90
99 		93
103 	95
106 	97
110 	99
113 	100
116 	102
139 	103
138 	111
122 	110
125 	106
129 	106
132 	108
135 	109
138 	110
142 	110
145 	111
165 	112
146 	115
150 	111
153 	112
157 	113
160 	114
163 	114
167 	115
170 	115
192 	116
192 	120
174 	119
177 	115
181 	117
184 	117
187 	118
191 	118
194 	118
198 	120
217 	120
217 	122
200 	122
204 	119
207 	120
210 	120
206 	120
214 	120
218 	122
251 	122
251 	126
251 	125
224 	125
227 	122
231 	123
234 	123
237 	123
241 	123
245 	124
275 	124
276 	127
276 	127
249 	126
253 	124
256 	125
260 	125
264 	125
268 	125
301 	126
301 	129
301 	128
301 	128
275 	128
279 	125
283 	126
286 	127
290 	127
294 	127
325 	128
326 	130
326 	130
326 	130
301 	129
305 	127
308 	127
313 	129
317 	128
348 	129
349 	131
350 	131
350 	131
324 	131
328 	128
331 	129
336 	129
340 	130
344 	130
373 	130
374 	132
374 	132
375 	132
349 	131
354 	129
358 	130
362 	130
366 	131
397 	131
398 	133
399 	133
400 	133
401 	133
375 	133
380 	131
384 	131
388 	132
393 	132
422 	133
423 	133
424 	133
425 	133
426 	133
402 	133
406 	132
411 	132
415 	133
445 	133
447 	135
448 	134
449 	135
451 	134
451 	134
428 	135
432 	133
437 	133
441 	134
470 	134
471 	135
473 	135
474 	135
475 	135
477 	135
453 	135
458 	133
463 	134
494 	134
495 	136
496 	136
498 	136
499 	136
501 	136
502 	136
480 	136
485 	135
490 	135
519 	135
520 	137
522 	136
523 	136
525 	136
527 	137
501 	136
506 	135
511 	136
542 	136
544 	138
545 	137
547 	137
549 	137
551 	137
552 	137
528 	137
532 	136
538 	137
568 	137
569 	137
571 	137
573 	137
574 	137
577 	138
579 	138
554 	137
559 	137
590 	137
592 	139
594 	138
596 	138
598 	138
600 	138
602 	138
604 	138
580 	138
585 	137
615 	137
617 	139
619 	139
621 	139
623 	139
625 	139
628 	138
630 	139
606 	139
638 	138
640 	140
642 	139
644 	139
647 	139
648 	139
651 	139
654 	139
656 	140
634 	140
663 	139
665 	140
668 	140
670 	140
672 	140
674 	140
677 	140
679 	140
682 	140
686 	140
688 	140
690 	140
693 	141
695 	141
698 	141
700 	141
702 	141
706 	141
708 	140
711 	141
713 	141
716 	141
718 	142
721 	142
