#V1[dg]	V2[dg]
0 		0
8 		6
6 		5
23		18
13		11
47		37
25		21
15		12
42		34
23		19
65		54
35		30
83		80
50		42
28		36
69		58
36		31
93		77
46		39
101 	103
60 		50
31 		53
77 		64
39 		33
101 	82
49 		42
123 	108
62 		52
32 		79
79 		67
41 		35
103 	85
51 		44
130 	114
64 		55
34 		92
83 		69
42 		36
108 	88
53 		46
135 	121
67 		57
35 		105
85 		72
44 		38
114 	92
55 		47
137 	132
70 		59
36 		117
89 		74
45 		39
121 	95
57 		49
139 	141
72 		61
38 		127
92 		78
48 		40
132 	99
59 		51
139 	141
75 		63
39 		133
96 		80
49 		42
141 	102
62 		52
139		140
78 		66
40 		134
100		83
51 		43
141		108
64 		55
140		140
81 		69
42 		137
104		86
53 		45
141		113
66 		56
140		141
84 		71
44 		139
108		89
55 		46
140		120
69 		59
140		140
86 		73
45 		140
113		92
57 		48
140		130
71 		60
139		139
89 		75
46 		140
119		95
58 		50
140		140
73 		62
140		140
92 		77
48 		140
130		99
60 		51
140		141
75 		64
140		140
95 		80
62 		140
140		101
62 		52
140		141
78 		66
139		140
98 		83
78 		140
141		106
64 		54
140		141
80 		68
140		140
102		85
103		140
141		108
65 		55
140		140
81 		69
140		140
104		86
116		140
141		113
67 		69
140		140
84 		71
140		140
108		89
126		140
140		119
69 		85
140		140
87 		74
140		140
111		91
136		140
140		125
70 		111
141		140
88 		75
140		140
117		94
138		140
140		141
72 		123
140		140
91 		77
140		140
125		98
139		140
141		141
74 		131
140		140
94 		79
140		140
141		101
140		140
140		141
76 		135
140		140
97 		82
140		140
141		104
140		140
140		141
79 		138
140		140
100		84
140		140
141		109
140		140
140		140
81 		140
140		140
104		86
140		140
141		116
140		140
140		140
85 		140
140		140
110		90
140		140
140		123
140		140
140		141
87 		140
140		140
116		93
140		140
140		136
140		140
140		140
90 		140
140		140
123		97
140		140
140		141
140		140
140		140
93 		140
140		141
136		100
140		141
140		141
140		140
140		140
96 		141
140		140
141		104
141		140
140		141
140		140
140		141
100		140
141		141
141		107
140		140
140		140
140		141
140		140
115		140
140		140
140		112
140		140
140		140
140		140
140		140
129		140
140		140
140		118
140		140
141		140
140		140
140		140
138		140
139		139
139		122
140		140
140		140
140		140
140		140
139		140
140		140
